sample,fastq_1,fastq_2,sra_accession,study_accession
SRR36835310,,,SRR36835310,SRP662258
SRR36835334,,,SRR36835334,SRP662258
SRR36835076,,,SRR36835076,SRP662258
SRR36835882,,,SRR36835882,SRP662258
SRR36835853,,,SRR36835853,SRP662258
